Model Name,Engine Displacement (cc),Maximum Power (HP),Engine Type,Bore (mm),Stroke (mm),Charging System,Oil Capacity (L),Valve Type,Cylinders (qty.),Dry Weight (kg),Shaft Diameter (mm),Fuel Type,Air Cooling System,Product Type,Series,Start Type,Displacement,Shaft Rotation
Model_0001,211,23.8,OHV,68.9,61.4,None,1.05,Flathead,1,29.3,30.9,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0002,595,14,4-stroke,65.4,49.8,12V DC,1.3,DOHC,2,25.6,31.2,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0003,378,11.7,4-stroke,58.9,71.7,12V DC,0.52,DOHC,1,17.4,26.7,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0004,338,14.7,4-stroke,84.1,45.5,None,2.39,DOHC,1,59.2,21.1,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0005,428,21,V-twin,82.7,67.1,12V DC,1.301,DOHC,2,22.3,30.1,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0006,696,11.8,V-twin,55.1,66.1,None,0.93,DOHC,2,66.5,18.5,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0007,537,13,2-stroke,84,70.7,None,0.41,OHV,2,65.6,19.1,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0008,63,3.3,V-twin,74.3,46.6,12V DC,1.53,Flathead,1,44.4,26.8,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0009,396,15.3,2-stroke,68,56.2,None,1.14,Flathead,1,26.6,26.6,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0010,54,23.6,2-stroke,71.8,51.9,None,1.92,DOHC,2,20.2,26,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_0011,619,8.6,V-twin,76.9,69.4,Alternator,2.06,DOHC,1,66.501,27.6,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0012,543,4.4,V-twin,82.6,72.5,None,1.28,Flathead,1,33.4,29.7,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0013,178,7.6,2-stroke,65.8,65.5,Alternator,1.84,Flathead,1,66.502,31.201,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0014,670,4.6,V-twin,64.6,74,12V DC,1.71,Flathead,2,46.6,29.701,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0015,345,9.6,4-stroke,56.5,60.5,Alternator,0.77,OHV,2,15.6,30.901,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0016,648,22.9,V-twin,73.1,65.4,Alternator,1.03,Flathead,1,68.8,18.2,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0017,658,22.8,V-twin,67.3,45.501,12V DC,0.8,DOHC,1,23.9,29.3,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0018,427,24.5,4-stroke,71.6,60.4,None,0.42,DOHC,2,10.5,23.5,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0019,627,9.2,OHV,73.8,55.8,None,2.19,DOHC,1,27.7,27,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0020,200,23.5,4-stroke,56.9,64.7,None,0.88,Flathead,2,14.3,28.4,Diesel,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0021,319,21.7,4-stroke,72.8,53.6,Alternator,0.67,Flathead,1,56.7,20.4,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0022,60,15.6,V-twin,61.8,47.5,None,1.49,DOHC,1,53.4,20.8,Diesel,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_0023,160,17.4,V-twin,69.8,64.1,None,1.302,OHV,1,51.1,18,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0024,602,20.5,2-stroke,71.2,57.3,Alternator,1.06,Flathead,1,41.4,33.9,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0025,147,12.6,4-stroke,67.8,58.7,12V DC,1.02,Flathead,1,56.5,30.2,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0026,298,13.5,OHV,82,51.1,None,0.33,Flathead,2,43.8,28.8,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0027,404,18.2,2-stroke,69.4,53.8,None,0.91,DOHC,1,55.8,19.7,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0028,103,19.9,4-stroke,59.5,66.3,12V DC,0.54,DOHC,1,50.5,32.4,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0029,93,6.2,4-stroke,59.7,47.9,12V DC,1.87,Flathead,1,37.2,27.2,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0030,284,24.8,4-stroke,62.2,50.1,None,2.42,DOHC,1,12.1,21.6,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0031,670,17.5,OHV,73.9,60.6,12V DC,1.86,Flathead,1,57.3,24,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0032,229,5.4,V-twin,72.801,56.9,Alternator,1.68,Flathead,2,46.7,26.001,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0033,696,22.5,V-twin,56.901,55.6,12V DC,2.03,Flathead,1,13.7,25.1,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0034,172,16.1,2-stroke,59.701,55.4,None,1.4,DOHC,2,20.3,19.3,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0035,211,22.2,OHV,62.4,65,12V DC,0.31,OHV,1,29.5,33.7,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0036,385,4.5,V-twin,63.5,67.2,None,2.43,DOHC,1,22.1,29.2,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0037,589,16.8,V-twin,72.7,70.701,12V DC,2.14,DOHC,2,25.4,28.7,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0038,61,2.9,4-stroke,57.1,67.4,Alternator,1.34,Flathead,1,12.7,18.8,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_0039,673,13,2-stroke,57.3,50.2,Alternator,0.71,Flathead,1,21.1,27.3,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0040,362,3.2,4-stroke,72.6,65.9,Alternator,1.33,Flathead,2,42.3,22.8,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0041,229,15,OHV,82.9,71.8,Alternator,2.141,DOHC,1,59.5,31.8,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0042,457,20.9,V-twin,64.4,53.9,Alternator,0.44,DOHC,1,19.1,34,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0043,659,13.4,V-twin,56.6,60.401,Alternator,1.82,DOHC,2,56,29.201,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0044,202,12.6,V-twin,73,52.3,Alternator,1.72,Flathead,1,41.5,29.4,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0045,67,3.9,OHV,75.4,73.9,12V DC,2.49,DOHC,2,8.8,27.8,Diesel,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0046,496,13.4,OHV,76.8,64.9,Alternator,1.98,DOHC,1,62.4,21.3,Diesel,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0047,379,22.1,OHV,84.101,62.4,None,1.061,Flathead,1,43.5,30.8,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0048,235,19,2-stroke,69.1,74.001,None,1.681,OHV,1,56.8,26.5,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
